"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
10.364,11.612,11.612,6.908,6.62,9.692,14.972,11.804,11.132,11.708,9.788,6.332,6.332,6.332,6.428,10.076,9.884,8.348,6.428,6.428,11.228,10.748,9.5,7.292,7.772,7.58,11.804,10.556,10.172,10.172,7.292,6.524,8.348,7.868,6.908,9.788,9.788,10.076,8.732,8.156,9.116,11.516,11.036,10.268,10.076,7.196,6.62,9.98,9.884,9.5,6.524,8.444,8.444,6.524,5.948,8.636,9.884,9.884,10.076,7.292
10.268,10.556,8.252,7.292,6.428,7.196,7.004,6.62,10.268,9.404,6.524,6.428,6.14,6.236,5.66,7.676,7.484,9.308,10.94,10.844,7.004,6.14,8.54,11.996,11.516,8.828,10.076,10.556,9.308,7.004,7.196,7.868,7.868,11.228,11.996,9.5,7.292,7.388,7.868,8.252,7.1,6.524,11.036,10.172,9.308,7.292,8.252,8.924,8.636,9.212,8.348,7.58,7.196,6.524,6.428,9.212,11.612,11.036,10.364,8.444
9.308,9.98,9.98,10.076,7.868,6.044,12.284,10.076,8.828,9.308,9.884,10.076,10.844,9.5,8.732,7.388,7.58,7.292,9.98,12.572,10.172,7.772,5.66,9.116,9.884,9.212,7.484,6.332,8.252,7.388,7.196,9.98,13.724,11.036,10.268,7.196,6.236,6.524,6.716,6.716,11.132,11.612,10.844,6.62,6.812,10.652,11.036,9.788,9.02,8.252,9.404,9.116,8.636,10.172,8.252,5.948,6.428,8.252,12.572,9.212
9.788,7.964,7.676,7.964,7.292,10.268,8.252,8.252,7.292,7.292,7.196,9.692,9.212,11.228,11.132,9.404,7.1,7.004,8.444,10.46,10.076,7.484,5.852,7.484,10.46,12.38,10.748,7.58,6.332,8.348,10.844,10.844,10.652,7.58,6.428,6.812,10.172,9.5,7.58,7.484,7.292,7.196,6.908,6.62,6.428,6.332,10.172,9.884,7.676,6.716,9.404,9.98,9.884,7.868,6.332,8.156,8.348,8.828,9.5,9.98
9.308,9.404,10.172,10.748,8.156,7.196,8.348,9.212,8.924,8.348,9.98,10.076,11.324,11.324,8.06,6.428,8.252,9.884,10.748,8.54,7.772,6.428,11.324,10.076,7.868,6.332,6.524,6.716,6.812,8.444,10.652,10.172,9.788,7.292,6.908,7.292,9.5,8.444,8.156,7.292,10.364,11.804,9.212,8.828,7.196,7.1,8.924,10.172,7.196,7.1,6.812,8.06,7.292,7.004,9.884,9.788,7.772,6.908,6.908,9.596
8.156,7.196,9.5,10.844,9.116,7.772,7.004,10.268,14.108,10.268,6.62,5.66,9.788,9.308,8.06,6.812,6.332,10.172,9.98,8.348,7.292,6.332,6.812,10.94,11.612,10.268,9.212,9.116,10.076,8.156,7.292,6.428,9.884,10.076,8.06,6.62,10.364,10.172,6.62,6.044,8.924,11.324,11.036,8.252,9.308,10.076,7.388,7.1,9.404,11.324,9.116,7.004,6.524,6.524,6.236,6.044,9.596,11.804,11.324,10.652
10.076,11.324,9.884,6.428,6.428,8.444,11.516,10.268,10.076,9.788,9.788,8.06,6.428,9.5,8.828,9.308,9.884,8.06,7.388,7.58,10.076,11.612,10.844,7.484,6.332,6.62,9.884,10.46,10.652,10.556,8.252,6.428,6.524,6.524,8.444,8.252,8.924,8.156,8.06,6.908,9.788,9.116,10.268,10.46,7.292,7.292,9.788,11.516,9.788,9.404,7.292,6.716,7.196,7.004,9.404,10.268,11.708,11.228,9.98,10.94
11.228,11.42,9.404,11.804,11.804,10.652,6.62,6.236,6.044,8.252,10.076,10.364,11.228,10.268,7.484,7.292,9.308,11.324,10.748,7.868,6.044,11.612,9.884,7.1,6.62,7.004,11.324,9.884,8.348,6.524,7.1,7.004,7.868,11.228,10.748,7.676,7.772,7.484,6.524,8.636,9.116,9.5,8.444,6.812,6.812,7.292,11.036,12.38,9.404,8.444,8.252,9.884,10.076,7.388,6.332,7.292,12.956,14.78,14.684,10.652
9.404,9.788,10.172,9.98,9.308,8.252,8.252,7.004,7.1,9.884,12.188,12.092,8.444,9.692,8.54,6.428,6.716,10.652,10.844,8.924,9.596,10.46,10.364,9.212,6.332,5.66,6.428,8.444,11.228,10.268,8.348,6.524,6.332,11.42,10.652,9.788,5.66,7.292,7.388,9.5,10.748,9.404,9.884,12.764,10.94,9.788,8.54,7.196,8.252,8.252,7.292,7.388,9.308,11.036,9.884,9.884,8.252,8.156,7.676,11.228
9.308,9.884,11.132,11.612,7.772,7.196,10.46,10.076,9.98,9.116,7.484,7.388,9.788,10.748,10.748,9.884,7.292,6.14,7.1,9.308,10.268,10.172,10.748,9.404,9.692,10.172,9.98,7.1,6.044,6.236,6.332,7.868,11.612,11.708,7.004,6.62,7.676,11.228,10.076,7.868,8.348,9.404,9.5,12.476,9.98,8.156,7.388,7.292,9.5,10.076,11.612,9.98,7.292,8.156,9.308,9.404,9.212,7.196,8.252,9.98
