NA,C,A,C,B,B,A,A,A,B,B,A,A,A,B,B,B,A,G,G,G,G,G
C,NA,A,C,B,B,A,A,A,B,B,A,A,A,B,B,B,A,G,G,G,G,G
D,D,NA,E,E,E,A,A,A,B,B,B,B,A,A,B,B,A,B,A,G,G,G
C,C,B,NA,C,C,B,B,B,B,B,B,B,B,B,A,A,B,G,B,G,G,G
C,E,B,C,NA,C,B,B,B,B,B,B,B,B,B,A,A,B,G,B,G,G,G
C,E,B,C,C,NA,B,B,B,B,B,B,B,B,B,A,A,B,G,B,G,G,G
D,D,D,E,E,E,NA,C,C,B,B,A,A,A,B,B,B,A,B,A,G,G,G
D,D,D,E,E,E,C,NA,C,B,B,A,A,A,B,A,A,A,B,A,G,G,G
D,D,D,E,E,E,C,C,NA,B,B,A,A,A,B,A,A,A,B,A,G,G,G
E,E,E,E,E,E,E,E,E,NA,C,B,B,B,A,A,A,B,B,B,G,G,G
E,E,E,E,E,E,E,E,E,C,NA,B,B,B,A,A,A,B,B,B,B,G,G
D,D,E,E,E,E,D,D,D,E,E,NA,C,A,B,B,B,A,B,A,B,B,B
D,D,E,E,E,E,D,D,D,E,E,C,NA,A,B,B,B,A,B,A,B,B,B
D,D,D,E,E,E,D,D,D,E,E,D,D,NA,E,B,B,A,B,B,A,A,A
E,E,D,E,E,E,E,E,E,D,D,E,E,B,NA,B,B,B,A,A,B,B,B
E,E,E,D,D,D,E,D,D,D,D,E,E,E,E,NA,C,B,A,B,B,B,B
E,E,E,D,D,D,E,D,D,D,D,E,E,E,E,C,NA,B,A,B,B,B,B
D,D,D,E,E,E,D,D,D,E,E,D,D,D,E,E,E,NA,B,B,A,A,A
G,G,E,G,G,G,E,E,E,E,E,E,E,E,D,D,D,E,NA,C,B,B,B
G,G,D,E,E,E,D,D,D,E,E,D,D,E,D,E,E,E,C,NA,A,A,A
G,G,G,G,G,G,G,G,G,G,E,E,E,D,E,E,E,D,E,D,NA,C,C
G,G,G,G,G,G,G,G,G,G,G,E,E,D,E,E,E,D,E,D,C,NA,C
G,G,G,G,G,G,G,G,G,G,G,E,E,D,E,E,E,D,E,D,C,C,NA
